customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST001,Female,No,No,No,19,Yes,Yes,DSL,No internet service,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,69.6203082915248,1306.3990732051154,No
CUST002,Male,No,No,No,57,Yes,No,Fiber optic,No internet service,No,No,Yes,No internet service,No internet service,One year,No,Electronic check,46.53684514384628,2806.3293402501795,No
CUST003,Male,No,No,No,44,Yes,Yes,DSL,No internet service,No,No,No,No,Yes,Two year,No,Electronic check,54.55737160105605,2518.974471456442,No
CUST004,Male,No,No,No,35,Yes,No,Fiber optic,No,Yes,Yes,No internet service,No internet service,Yes,One year,Yes,Mailed check,22.40201103185484,695.9910726494822,No
CUST005,Female,No,Yes,No,1,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,46.265252893879676,16.546580433394045,No
CUST006,Female,No,Yes,No,52,Yes,No,DSL,No,No internet service,No internet service,No,No,No,One year,No,Electronic check,31.19361948245598,1754.4392811147761,No
CUST007,Female,No,No,Yes,70,Yes,No,DSL,Yes,No,No,No internet service,No,Yes,Month-to-month,Yes,Mailed check,72.02002308449698,4987.581311827222,No
CUST008,Male,No,No,No,37,Yes,Yes,DSL,No internet service,No,No,No,No,Yes,Two year,Yes,Electronic check,89.2306042460641,3322.0028946827647,No
CUST009,Male,No,Yes,Yes,65,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,No,Mailed check,46.183022555878935,2929.1831665904797,No
CUST010,Male,Yes,No,Yes,51,Yes,Yes,Fiber optic,No internet service,No,Yes,No internet service,No,No,One year,Yes,Mailed check,46.92731272815294,2398.001515714197,Yes
CUST011,Female,No,Yes,No,1,Yes,No,Fiber optic,Yes,Yes,No internet service,Yes,No,No,Month-to-month,Yes,Bank transfer,83.86284511777762,93.90562351500405,Yes
CUST012,Male,No,No,No,21,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,Yes,No,Yes,One year,No,Credit card,55.98225777041584,1133.756806005811,No
CUST013,Male,No,Yes,No,53,Yes,Yes,Fiber optic,No internet service,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,70.1349452207906,3845.0612711600966,No
CUST014,Female,No,No,Yes,16,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,79.8626653084967,1174.0857191324108,No
CUST015,Female,No,Yes,No,61,Yes,Yes,DSL,No,No,No internet service,No internet service,Yes,No,Month-to-month,No,Credit card,50.83845854108293,3114.986745853319,Yes
CUST016,Female,No,Yes,No,54,Yes,No,DSL,No,No,No,No,No internet service,Yes,Two year,No,Mailed check,51.226822580523404,2980.2684209438185,No
CUST017,Female,No,No,No,40,Yes,Yes,No,No,No internet service,No,No,Yes,No,One year,Yes,Bank transfer,54.872287710069955,2232.247342494445,Yes
CUST018,Male,No,No,Yes,26,Yes,No,No,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,33.92885554104316,786.5676871426971,Yes
CUST019,Female,No,No,Yes,65,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card,74.73353372138439,4899.381587677214,No
CUST020,Female,No,No,No,64,Yes,Yes,Fiber optic,No internet service,No,Yes,No,No,Yes,Month-to-month,No,Credit card,77.01737827447015,5220.9554465877045,Yes
CUST021,Male,Yes,No,Yes,43,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer,66.59377562889462,2868.2396196858886,Yes
CUST022,Female,No,No,No,17,Yes,Yes,Fiber optic,No,No,No,No,No,No internet service,Month-to-month,No,Electronic check,92.19353473003899,1662.5245801380279,Yes
CUST023,Female,No,Yes,No,59,Yes,Yes,DSL,No,No,No,No internet service,No internet service,No,One year,Yes,Credit card,59.776293624040136,3527.423221940807,No
CUST024,Female,Yes,No,Yes,23,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer,77.351798094027,1812.1454879662188,Yes
CUST025,Female,No,No,No,7,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer,74.71668848824385,513.6261935536902,No
CUST026,Male,No,Yes,No,44,Yes,No,No,No,Yes,Yes,No,Yes,No,One year,No,Electronic check,49.01776150878726,2034.6161618980316,Yes
CUST027,Female,No,No,No,53,Yes,No internet service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer,88.09733094161537,4714.033483472794,Yes
CUST028,Female,No,Yes,Yes,71,Yes,Yes,DSL,No,No internet service,No,No,No,Yes,One year,Yes,Electronic check,67.56350381341358,4650.24703538019,No
CUST029,Male,Yes,No,Yes,34,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,84.49218222844343,2835.241378752663,No
CUST030,Female,No,Yes,No,46,Yes,No,Fiber optic,Yes,No internet service,No,No internet service,Yes,No,One year,No,Bank transfer,38.98133138471883,2022.5451163603302,No
CUST031,Male,Yes,Yes,Yes,68,Yes,Yes,Fiber optic,No,Yes,No,No internet service,Yes,Yes,One year,Yes,Electronic check,67.19506802551139,4560.628747378424,Yes
CUST032,Female,No,Yes,No,16,Yes,No internet service,Fiber optic,No,No internet service,No,No,Yes,No,One year,No,Bank transfer,55.78813059346554,781.8210849709383,Yes
CUST033,Female,No,Yes,No,71,Yes,No,Fiber optic,No,No,No internet service,No,No,No,Month-to-month,Yes,Bank transfer,47.970968402995894,3434.8450286361685,No
CUST034,Male,No,No,No,19,Yes,No,DSL,No internet service,Yes,Yes,No,No,No,One year,Yes,Electronic check,93.18996195970192,1704.1794359219807,No
CUST035,Male,No,Yes,No,2,Yes,No internet service,Fiber optic,No,No,No,No,Yes,No internet service,Month-to-month,No,Bank transfer,68.90593311913705,150.8452292032926,Yes
CUST036,Male,No,No,No,10,Yes,No,Fiber optic,No,No,No,No,No,No internet service,Two year,No,Credit card,35.46062276850628,213.42047081211362,Yes
CUST037,Female,Yes,No,Yes,50,Yes,No,DSL,Yes,No,No internet service,No,Yes,Yes,Month-to-month,No,Electronic check,55.05385559550571,2846.2537814999214,Yes
CUST038,Female,No,No,No,12,Yes,No internet service,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer,83.78103848815122,1020.3291831315564,Yes
CUST039,Male,Yes,Yes,No,70,Yes,Yes,DSL,No internet service,No internet service,No,Yes,No,No internet service,One year,No,Electronic check,47.9424358025162,3235.742656095238,No
CUST040,Female,No,No,No,22,Yes,No,DSL,No,No,Yes,Yes,No,Yes,One year,Yes,Mailed check,45.900292930728696,1052.9731954932606,Yes
CUST041,Female,Yes,Yes,No,32,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,62.059108791202156,2218.112781554126,No
CUST042,Female,No,Yes,Yes,1,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Two year,No,Mailed check,74.38615584839789,0.0,Yes
CUST043,Female,No,Yes,No,54,Yes,No,DSL,Yes,No,No,No internet service,No,No,Two year,No,Electronic check,50.43455347962317,2814.3813166113564,No
CUST044,Male,Yes,Yes,No,58,Yes,No internet service,Fiber optic,No,Yes,No,No internet service,No,No,One year,Yes,Credit card,72.81442751846203,4273.388955345619,Yes
CUST045,Female,No,No,Yes,70,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer,65.6972435222291,4647.202895722251,Yes
CUST046,Male,No,No,No,18,Yes,Yes,Fiber optic,No,Yes,No internet service,No,No,No,One year,No,Mailed check,68.12871734718621,1334.3479950358196,Yes
CUST047,Female,No,No,No,6,Yes,No internet service,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,18.0,74.7598580395366,No
CUST048,Male,No,No,No,45,Yes,No,DSL,No,No internet service,No,No,Yes,No internet service,Month-to-month,Yes,Mailed check,65.31829926101341,2957.6036859248757,Yes
CUST049,Male,Yes,No,No,23,Yes,No,Fiber optic,Yes,Yes,No internet service,No,No,Yes,Two year,Yes,Mailed check,59.986186876068814,1391.473379957766,Yes
CUST050,Female,No,No,Yes,23,Yes,Yes,DSL,Yes,No internet service,No internet service,No,Yes,No,Two year,No,Mailed check,72.80697497791903,1571.8726338549927,No
CUST051,Male,No,No,Yes,26,Yes,No internet service,DSL,No,No,No internet service,No,Yes,No,Two year,No,Mailed check,51.92393280412553,1405.0779528200644,No
CUST052,Male,No,Yes,No,7,Yes,No internet service,No,No,No,No internet service,No,No,No,Month-to-month,No,Electronic check,57.5810899629076,359.5746112094821,No
CUST053,Male,No,Yes,Yes,44,Yes,No,Fiber optic,Yes,No,No internet service,No,No,No,Month-to-month,Yes,Electronic check,75.66207220069496,3548.7573860234434,No
CUST054,Male,No,No,No,27,Yes,Yes,No,No,No,No,No internet service,No internet service,No,Month-to-month,No,Bank transfer,93.91436224284654,2474.7446307323744,No
CUST055,Male,No,Yes,No,26,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card,38.50853850926235,842.7850321054336,Yes
CUST056,Male,No,No,No,36,Yes,No internet service,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,75.2629440779898,2843.915934609383,Yes
CUST057,Female,No,No,No,55,Yes,No,Fiber optic,Yes,No,No,No,No,No internet service,Month-to-month,Yes,Electronic check,89.39865951072967,4827.616745753359,No
CUST058,Female,No,Yes,No,64,Yes,Yes,DSL,No internet service,No,No,No,Yes,No,One year,Yes,Electronic check,78.89409940934092,4903.6273274713485,No
CUST059,Female,No,Yes,No,57,Yes,No internet service,Fiber optic,Yes,No internet service,No internet service,No,Yes,Yes,One year,Yes,Credit card,88.05074020660652,5065.39554676563,Yes
CUST060,Female,No,No,Yes,69,Yes,No,DSL,No,Yes,No,No,No internet service,No,One year,No,Credit card,54.129564941098344,3894.8393041298687,No
CUST061,Female,No,Yes,No,61,Yes,Yes,Fiber optic,No,No,No internet service,No,No internet service,No,Two year,Yes,Bank transfer,89.73543779004413,5562.34343639966,Yes
CUST062,Female,No,Yes,No,2,Yes,No,DSL,No internet service,No,No,No,No,Yes,Month-to-month,No,Credit card,50.510756635152525,32.411886540135214,No
CUST063,Male,No,Yes,No,55,Yes,No,No,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,66.10256410728113,3651.068096464788,No
CUST064,Female,No,Yes,No,38,Yes,No,No,No internet service,No,No,Yes,No,No,One year,No,Credit card,54.952185045598824,2053.6984349690197,No
CUST065,Female,No,Yes,No,29,Yes,No internet service,Fiber optic,No internet service,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,55.75609633474087,1816.2293830999806,Yes
CUST066,Male,No,No,No,26,No,No,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Electronic check,30.57292065611911,742.4191899165618,No
CUST067,Female,No,No,Yes,35,Yes,Yes,Fiber optic,No internet service,No internet service,No,No,No,Yes,Month-to-month,Yes,Bank transfer,25.563696645361198,906.6091495026176,Yes
CUST068,Male,No,No,No,67,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No internet service,Month-to-month,Yes,Mailed check,88.53566764348642,5952.19952352271,Yes
CUST069,Female,No,No,No,29,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,One year,No,Bank transfer,29.01998319577185,702.3534658334488,Yes
CUST070,Male,No,Yes,No,34,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Electronic check,70.00885187031906,2357.150902887242,No
CUST071,Male,No,No,No,41,Yes,Yes,Fiber optic,No,No,No,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer,39.01928727468877,1578.5985719983264,No
CUST072,Female,Yes,Yes,No,41,Yes,No internet service,No,Yes,Yes,Yes,No internet service,Yes,No,Month-to-month,Yes,Electronic check,48.02891481970774,2134.4060223462807,Yes
CUST073,Female,No,Yes,Yes,23,Yes,Yes,Fiber optic,Yes,No,No,No,No internet service,Yes,Month-to-month,Yes,Electronic check,78.68605168276935,1833.195994674774,Yes
CUST074,Male,No,Yes,No,71,Yes,Yes,Fiber optic,No,No,No,No internet service,No,No,Two year,Yes,Credit card,68.24067987224295,4799.6895771703175,No
CUST075,Male,No,Yes,No,3,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card,62.457191704277754,169.9573475124969,Yes
CUST076,Male,No,Yes,No,58,Yes,No internet service,Fiber optic,No,No,No,No internet service,No,No,Month-to-month,Yes,Credit card,87.89308438496425,5089.763774259756,Yes
CUST077,Male,No,No,No,32,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,No,Bank transfer,59.20651089810204,1889.9386993500682,No
CUST078,Female,Yes,Yes,No,31,No,Yes,DSL,No,No,No,No,No,No,One year,Yes,Bank transfer,89.59954920928905,2888.8775977909536,Yes
CUST079,Female,No,No,Yes,43,Yes,No,Fiber optic,No,No,No internet service,No,No internet service,Yes,Two year,Yes,Bank transfer,43.61112027208886,1992.7229072583964,No
CUST080,Female,No,Yes,No,7,Yes,No internet service,No,No,No,No internet service,No,No internet service,Yes,Month-to-month,No,Electronic check,41.2041870796847,169.54497848577904,Yes
CUST081,Male,No,No,Yes,1,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,62.23663707440201,190.39179801849295,Yes
CUST082,Male,No,Yes,No,61,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,No,Yes,Two year,No,Electronic check,65.06551814205963,4059.1583020036533,No
CUST083,Female,No,Yes,Yes,14,No,No,DSL,No,No internet service,No,Yes,No,No,Month-to-month,Yes,Credit card,47.8322377158692,663.324317913971,No
CUST084,Female,No,No,No,52,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,No,Electronic check,59.47789104128486,2915.9746325016818,No
CUST085,Female,No,No,Yes,6,Yes,Yes,Fiber optic,No internet service,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card,92.29529509711193,579.2888684618906,Yes
CUST086,Female,No,Yes,No,10,Yes,Yes,Fiber optic,No,No,No internet service,No,No,No,Two year,Yes,Mailed check,57.112167461237334,528.6485767091367,No
CUST087,Male,No,Yes,Yes,71,Yes,No,DSL,No internet service,Yes,No,No,No,No,One year,Yes,Bank transfer,26.27261450137835,1931.941506209345,No
CUST088,Male,No,Yes,No,30,Yes,No internet service,No,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.133371958668633,981.5935664605107,Yes
CUST089,Male,No,Yes,No,21,Yes,No internet service,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,106.7325123068288,2399.671833810511,Yes
CUST090,Female,No,No,No,60,No,No,DSL,Yes,No,Yes,No,No,No,One year,Yes,Credit card,94.01151401638651,5513.34831731429,No
